wpcppf96cg@gmail.com,69,529
xmwd4tgl1v@ou.edu,39,711
ps5u4er2vy@gmail.com,97,316
t2go9708gh@ou.edu,73,143
jy3grgs184@ou.edu,70,409
o4y962j2lm@yahoo.com,47,185
e7yub28piy@ou.edu,0,298
bliid1rouz@osu.edu,73,417
za0ry8u5in@gmail.com,0,298
qkl4ujtq2u@osu.edu,36,843
sn08cp01er@aol.com,3,119
br4z3ldmcs@yahoo.com,83,726
n2m35ws1ea@ou.edu,13,82
ae4dew0did@yahoo.com,8,916
fqpsoc0ncp@aol.com,42,987
ssyzs070xl@yahoo.com,72,171
tkqjzorhxl@osu.edu,8,826
ugk5w9ky4a@ou.edu,64,574
s46hopbh2c@yahoo.com,91,123
qiz3mbi981@yahoo.com,46,462
dxx1zef69b@gmail.com,11,368
k0pv71h9te@osu.edu,77,928
b8vmeyzq50@aol.com,66,514
yvq6t3m12z@ou.edu,69,350
tt8xzm0ssb@aol.com,26,769
dlxzmrlskh@yahoo.com,22,772
mc4fqq0jxu@ou.edu,34,778
zp5cftur0o@yahoo.com,82,747
e48i9mxpkk@aol.com,87,933
twl2377kpq@gmail.com,65,19
e8qtdqohgo@gmail.com,48,390
vd13shw8jh@yahoo.com,83,995
nlel7a7t26@ou.edu,55,259
ia1laa6o9k@ou.edu,43,259
vrmr3syxcx@aol.com,80,391
fm14cxdwvh@aol.com,59,34
bryg0jpan5@gmail.com,61,344
pvwvp4uzyj@ou.edu,8,986
vqaj273qpn@gmail.com,57,98
ob8ixrungl@yahoo.com,57,680
h5x8kcw03o@gmail.com,38,405
kr47q8mpsh@osu.edu,38,604
z1fh3ig6lz@aol.com,14,892
f2s1hwq8gf@yahoo.com,43,949
mcl3lqd9ni@yahoo.com,2,507
nr7hhmy0j4@aol.com,2,459
osoaeppfs5@ou.edu,15,585
ehmf9qr8lo@aol.com,57,330
nlx7c95ozx@yahoo.com,89,332
velfr066bq@yahoo.com,80,6
mu5wqtubno@gmail.com,14,231
cz1ta0yx7t@ou.edu,59,348
u2kzsas5ai@aol.com,1,544
pcajs8shhz@yahoo.com,17,717
z6ctmiatfp@gmail.com,34,696
r8dbwqbu1r@osu.edu,49,71
qfkkv8oqr3@osu.edu,26,79
a2by6e9n74@ou.edu,8,860
w0ax3eltgm@aol.com,57,131
hg3txoy5rp@ou.edu,11,739
jo3bj64uaj@yahoo.com,78,270
kun2bbaz46@ou.edu,65,717
bghm7nqv3v@osu.edu,46,537
ggwkvzjc01@aol.com,0,834
djnvzpfrgs@yahoo.com,99,582
zzp804uedg@aol.com,53,32
dovhd0veaz@gmail.com,71,117
lguixv2q7h@gmail.com,55,630
z1ulbkeofn@ou.edu,17,740
iydz7cnd26@ou.edu,33,147
p6k0y1r4kt@ou.edu,99,453
wi6nhu8my0@ou.edu,29,745
pbrb7adkvf@aol.com,99,70
jeaasghhfm@yahoo.com,2,849
zhmipz592y@osu.edu,8,550
hmfivogj3k@yahoo.com,25,699
hmrh46qlsd@gmail.com,8,445
dpks0y5n1z@aol.com,94,354
dwq4ephyq0@osu.edu,64,346
je4q9dopv5@osu.edu,70,205
gn3j5kkny2@gmail.com,36,178
d8t58se96s@ou.edu,69,297
g0rmwb9b9n@ou.edu,10,400
k921tt450e@aol.com,27,640
gbvsjebnz0@aol.com,33,692
h4smgo86x8@osu.edu,75,468
fqbn807cfh@aol.com,14,382
y5496wwy6o@yahoo.com,97,440
u5i5abz2zj@aol.com,92,657
xq2rid9iui@osu.edu,99,368
lo7jbkpkvp@gmail.com,79,170
ad3tyipi6b@osu.edu,0,197
c01dbxxl8h@yahoo.com,61,243
mrtneuq10s@osu.edu,9,361
q7kwwvmccg@aol.com,65,727
gn7fifgnln@ou.edu,37,533
qixamnscnu@yahoo.com,2,797
qud12i2c5n@osu.edu,38,198
skcp15ie64@osu.edu,50,527
sx93eovaxv@yahoo.com,49,938
pndar237di@yahoo.com,25,639
m17m3izluq@ou.edu,64,537
